Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um/sr,,,,
 95, 545,     544.904,       5.119,    1898.852,   1.013E-01,   2.835E-02,   8.325E-02,   1.296E-19
 96, 547,     547.441,       5.122,    1896.936,   9.940E-02,   2.834E-02,   8.591E-02,   1.238E-19
 97, 550,     549.994,       5.136,    1893.063,   9.756E-02,   2.833E-02,   8.809E-02,   1.129E-19
 98, 553,     552.511,       5.130,    1899.786,   9.575E-02,   2.831E-02,   9.044E-02,   9.906E-20
 99, 555,     555.044,       5.118,    1885.888,   9.400E-02,   2.830E-02,   9.360E-02,   8.266E-20
100, 558,     557.576,       5.110,    1860.337,   9.230E-02,   2.829E-02,   9.815E-02,   6.749E-20
101, 560,     560.104,       5.125,    1839.236,   9.062E-02,   2.828E-02,   1.041E-01,   6.708E-20
102, 563,     562.642,       5.132,    1848.073,   8.899E-02,   2.827E-02,   1.101E-01,   8.273E-20
103, 565,     565.190,       5.134,    1848.359,   8.737E-02,   2.826E-02,   1.152E-01,   8.821E-20
104, 568,     567.710,       5.124,    1842.687,   8.579E-02,   2.824E-02,   1.194E-01,   8.097E-20
105, 570,     570.259,       5.144,    1844.807,   8.424E-02,   2.823E-02,   1.231E-01,   8.258E-20
106, 573,     572.796,       5.113,    1858.912,   8.273E-02,   2.822E-02,   1.258E-01,   7.447E-20
107, 575,     575.343,       5.183,    1858.463,   8.131E-02,   2.821E-02,   1.262E-01,   5.358E-20
108, 578,     577.902,       5.141,    1842.954,   7.992E-02,   2.820E-02,   1.245E-01,   4.606E-20
109, 580,     580.450,       5.195,    1843.993,   7.850E-02,   2.819E-02,   1.217E-01,   4.637E-20
110, 583,     582.996,       5.141,    1845.158,   7.711E-02,   2.818E-02,   1.191E-01,   4.563E-20
111, 586,     585.553,       5.109,    1822.605,   7.581E-02,   2.817E-02,   1.175E-01,   4.880E-20
112, 588,     588.086,       5.099,    1784.665,   7.455E-02,   2.816E-02,   1.172E-01,   5.159E-20
113, 591,     590.548,       5.045,    1777.798,   7.336E-02,   2.815E-02,   1.186E-01,   5.765E-20
114, 593,     593.084,       5.039,    1795.816,   7.228E-02,   2.814E-02,   1.222E-01,   5.610E-20
115, 596,     595.679,       5.228,    1798.495,   7.117E-02,   2.813E-02,   1.275E-01,   4.249E-20
116, 598,     598.262,       5.382,    1783.468,   6.999E-02,   2.812E-02,   1.328E-01,   3.894E-20
117, 601,     600.545,       4.659,    1763.887,   6.756E-02,   2.811E-02,   1.364E-01,   3.874E-20
118, 603,     602.920,       5.004,    1758.801,   6.651E-02,   2.810E-02,   1.374E-01,   3.032E-20
119, 605,     605.461,       5.119,    1764.102,   6.543E-02,   2.809E-02,   1.353E-01,   2.075E-20
120, 608,     607.986,       4.797,    1747.625,   6.437E-02,   2.808E-02,   1.310E-01,   1.990E-20
121, 610,     610.360,       4.709,    1723.359,   6.335E-02,   2.807E-02,   1.256E-01,   2.701E-20
122, 613,     612.730,       4.860,    1703.361,   6.236E-02,   2.806E-02,   1.202E-01,   3.487E-20
123, 615,     615.145,       4.881,    1679.909,   6.136E-02,   2.806E-02,   1.152E-01,   3.540E-20
124, 618,     617.605,       4.922,    1676.357,   6.038E-02,   2.805E-02,   1.107E-01,   3.181E-20
125, 620,     620.061,       4.930,    1688.408,   5.942E-02,   2.804E-02,   1.070E-01,   2.798E-20
126, 623,     622.530,       4.934,    1672.864,   5.848E-02,   2.803E-02,   1.038E-01,   2.439E-20
127, 625,     624.988,       4.875,    1654.500,   5.754E-02,   2.802E-02,   1.007E-01,   2.069E-20
128, 627,     627.434,       4.910,    1665.410,   5.663E-02,   2.802E-02,   9.740E-02,   1.634E-20
129, 630,     629.898,       4.935,    1659.554,   5.574E-02,   2.801E-02,   9.399E-02,   1.319E-20
130, 632,     632.376,       4.920,    1643.061,   5.486E-02,   2.800E-02,   9.045E-02,   1.304E-20
131, 635,     634.830,       4.921,    1636.819,   5.400E-02,   2.799E-02,   8.675E-02,   1.402E-20
132, 637,     637.305,       4.966,    1635.607,   5.316E-02,   2.799E-02,   8.286E-02,   1.464E-20
133, 640,     639.791,       4.948,    1621.131,   5.234E-02,   2.798E-02,   7.889E-02,   1.583E-20
134, 641,     641.029,       4.915,    1610.391,   5.193E-02,   2.798E-02,   7.696E-02,   1.681E-20
135, 642,     642.255,       4.877,    1605.599,   5.152E-02,   2.797E-02,   7.512E-02,   1.767E-20
